loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0.4666667,-0.9101445,0.6521069,-0.7039884,-1.442673,1.533103,-2.686337,0.3114589,1.226701,0.4715178,-1.578522,-0.08124168,0.4238933,-0.4296057,0.3960395,-0.6217054,-3.527148,-0.6148605,0.331956,1.428267,0.3696115,-0.08768964,-0.5743076,-0.2750845,-1.035387,0.5118669,-0.09841845,0.4761995,1.505543,0.2335329,0.01660335,1.237236,0.3730625,272.1552,171.0161,82.92328,False
4,0.4777778,-0.8802,0.6892387,-0.7381378,-1.43817,1.520839,-2.675919,0.3121822,1.228447,0.4734995,-1.577976,0.05038216,0.4219692,-0.4062415,0.4333996,-0.6143146,-3.526318,-0.6200558,0.3335924,1.429274,0.3702664,-0.05999082,-0.5690219,-0.2742218,-1.037778,0.5040361,-0.0945313,0.4771268,1.505554,0.2333553,0.01637356,1.241767,0.3776063,272.5628,157.7477,96.73506,False
4,0.4888889,-0.8599127,0.7104853,-0.7541342,-1.434106,1.509052,-2.665531,0.3128907,1.230139,0.4754364,-1.5789,-0.08512956,0.4285303,-0.399875,0.4568011,-0.6069999,-3.526332,-0.6250769,0.335194,1.430202,0.3709602,-0.04729211,-0.5775194,-0.2828622,-1.040678,0.4962648,-0.09069075,0.4780421,1.505266,0.2329915,0.01622963,1.246193,0.3823799,273.0198,149.3393,105.8181,False
4,0.5,-0.8258185,0.7625266,-0.7745777,-1.430081,1.496359,-2.655826,0.3139443,1.231882,0.4770451,-1.578645,0.02384727,0.4563469,-0.4296253,0.459725,-0.5995181,-3.529184,-0.6288498,0.3368527,1.431187,0.3717592,-0.04521704,-0.5785871,-0.2892691,-1.043499,0.4883718,-0.08615379,0.478954,1.505129,0.232913,0.01622271,1.250489,0.3873002,273.567,144.0651,111.799,False
4,0.5111111,-0.804548,0.7837852,-0.778859,-1.426411,1.484685,-2.646005,0.3150551,1.233555,0.4788723,-1.578383,0.02351799,0.4765487,-0.4636253,0.4413927,-0.5924063,-3.534028,-0.6308387,0.3384719,1.432145,0.3726678,-0.04846781,-0.5785917,-0.2956332,-1.046351,0.4804775,-0.08136863,0.4799345,1.505003,0.2328675,0.01632122,1.254666,0.3923996,274.1384,140.8785,115.6208,False
4,0.5222223,-0.7587146,0.7944809,-0.7871871,-1.422861,1.472201,-2.637323,0.3161308,1.235126,0.4810042,-1.578975,-0.05451556,0.5221437,-0.5326325,0.3887168,-0.5857143,-3.543226,-0.6303101,0.3400339,1.43306,0.373852,-0.03902495,-0.5934935,-0.3127698,-1.049796,0.4719715,-0.07698773,0.4807665,1.504826,0.2328496,0.01651038,1.258767,0.3976391,274.6423,138.5056,118.6959,False
4,0.5333334,-0.701125,0.7870213,-0.7974675,-1.418609,1.46091,-2.629775,0.3173167,1.236599,0.4830561,-1.578583,0.03625589,0.5465644,-0.5751182,0.3618217,-0.5785739,-3.551008,-0.6306235,0.341552,1.433909,0.374876,-0.03159714,-0.5999029,-0.3149578,-1.052724,0.4635646,-0.0725802,0.4816646,1.504661,0.2328317,0.01693129,1.262775,0.4029302,275.1208,136.777,121.2206,False
4,0.5444446,-0.6371111,0.7796088,-0.8108943,-1.414426,1.449003,-2.622932,0.3184734,1.238085,0.4853649,-1.579551,-0.089078,0.566682,-0.6176128,0.3296271,-0.5716603,-3.560636,-0.629521,0.342909,1.434653,0.3761096,-0.04217327,-0.5977788,-0.305285,-1.05528,0.4557986,-0.06788477,0.4824269,1.50452,0.2330215,0.01755967,1.26671,0.4081853,275.6108,135.4031,123.3389,False
4,0.5555557,-0.5902177,0.7764573,-0.814899,-1.410305,1.437068,-2.615585,0.3199885,1.239611,0.4872918,-1.580323,-0.07005484,0.5729483,-0.6175715,0.3146721,-0.5651052,-3.567149,-0.6304746,0.3444903,1.435499,0.3771973,-0.04628938,-0.583972,-0.2881973,-1.057562,0.4483308,-0.06346526,0.4833267,1.504333,0.2332771,0.01834196,1.270538,0.413416,276.1794,134.0301,125.3675,False
4,0.5666668,-0.53168,0.7818938,-0.8082343,-1.406553,1.425575,-2.609766,0.3214644,1.240694,0.4893959,-1.580801,-0.04358892,0.554527,-0.5834876,0.2882421,-0.5601342,-3.572716,-0.6312323,0.3457424,1.436145,0.3783834,-0.04503065,-0.5669618,-0.2647556,-1.059425,0.4415409,-0.05973337,0.484003,1.504118,0.2335398,0.01928248,1.274131,0.4185894,276.7976,132.9187,127.0966,False
