loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0.6666671,-0.3726618,-0.02136058,-0.009864718,-0.9795916,2.803522,-0.3529679,0.0006274879,-0.2181947,0.3030198,-0.5880137,-0.4930555,-0.5577351,-0.2116446,-0.00826332,-0.3075202,-1.087232,1.590876,2.004405,0.1796252,1.563145,0.8040192,284.6465,206.8587,145.7905
2,0.6777782,-0.4307145,-0.01825795,0.00727658,-0.9828343,2.784504,-0.3193828,-0.01000437,-0.254557,0.3478533,-0.5947323,-0.4682306,-0.5760055,-0.2429958,0.004879117,-0.3561327,-1.092003,1.593722,2.006997,0.1827388,1.572445,0.8077032,285.1769,208.9762,144.1403
2,0.6888894,-0.4478011,-0.01580058,0.01552482,-0.9865446,2.766757,-0.2871569,-0.01120654,-0.2627793,0.363095,-0.6026275,-0.4444219,-0.5941172,-0.2548248,0.009253561,-0.3687753,-1.095966,1.596096,2.009095,0.1852922,1.581017,0.8124964,285.4203,209.6245,143.4962
2,0.7000005,-0.4560607,-0.02427091,0.03283173,-0.9906608,2.751593,-0.2561865,-0.02509871,-0.2594368,0.3764585,-0.6078132,-0.4244791,-0.6093515,-0.2707387,0.02318305,-0.3685397,-1.099169,1.598767,2.011357,0.1881168,1.589422,0.8172149,285.5747,209.9932,143.1678
2,0.7111117,-0.4499567,-0.02029368,0.04976259,-0.9943019,2.73826,-0.2264347,-0.03609815,-0.2573601,0.3712302,-0.614069,-0.4053629,-0.6236718,-0.2684875,0.03699732,-0.3631732,-1.102301,1.601482,2.013013,0.1899616,1.597083,0.8220872,285.4292,208.6726,144.16
2,0.7222228,-0.431961,-0.02183785,0.06515492,-0.9963972,2.726853,-0.1988625,-0.04809889,-0.2443795,0.3595518,-0.6213027,-0.3840326,-0.6395879,-0.2639844,0.05073193,-0.3450375,-1.104847,1.603867,2.014788,0.1924441,1.604257,0.8269585,285.3069,204.8528,147.541
2,0.7333339,-0.4275637,-0.03938986,0.07217239,-0.997618,2.717255,-0.1744887,-0.05584428,-0.2252545,0.3683924,-0.6275185,-0.3640552,-0.6539264,-0.2797728,0.05606091,-0.3288701,-1.107367,1.606174,2.017322,0.194658,1.611147,0.8320388,285.2593,203.0094,149.533
2,0.7444451,-0.4371543,-0.0483115,0.08100235,-0.9983275,2.707377,-0.1501112,-0.06313932,-0.2206008,0.3838593,-0.6335948,-0.3435163,-0.6678228,-0.2967789,0.06253207,-0.3286507,-1.110119,1.608746,2.019903,0.1970503,1.618051,0.8369724,285.3531,203.7423,149.4664
2,0.7555562,-0.4673163,-0.04748493,0.1210802,-0.9999211,2.697082,-0.1249326,-0.09675515,-0.2410136,0.4096957,-0.6408727,-0.3244055,-0.6811498,-0.3202724,0.09896314,-0.350616,-1.113263,1.613238,2.022214,0.1993997,1.624284,0.8421001,285.562,207.5462,147.185
2,0.7666674,-0.4673163,-0.04748493,0.1210802,-0.9999211,2.697082,-0.1249326,-0.09675515,-0.2410136,0.4096957,-0.6408727,-0.3244055,-0.6811498,-0.3202724,0.09896314,-0.350616,-1.113263,1.613238,2.022214,0.1993997,1.624284,0.8421001,285.562,207.5462,147.185
